15:59:21 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
15:59:21 INFO  testCases.AccountOverviewTest - Opening account overview
15:59:25 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
15:59:26 INFO  testCases.AccountOverviewTest - -->[2023-03-07/15:59:26] Finished test automation <--
16:02:20 INFO  testCases.RegisterTest - -->[2023-03-07/16:02:20] Starting the test automation <--
16:02:27 INFO  testCases.RegisterTest - * Starting RegisterTest-TC001_verify_register_link *
16:02:28 INFO  testCases.RegisterTest - Clicked on Register link
16:02:28 INFO  testCases.RegisterTest - Validating the link
16:02:28 INFO  testCases.RegisterTest - Test is passed
16:02:28 INFO  testCases.RegisterTest - * finished RegisterTest-TC001_verify_register_link *
16:02:28 INFO  testCases.RegisterTest - * Starting RegisterTest-TC004_verify_signUp_functionality *
16:02:28 INFO  testCases.RegisterTest - Filling the fields
16:02:28 INFO  testCases.RegisterTest - Username entering
16:02:28 INFO  testCases.RegisterTest - Password entering
16:02:34 INFO  testCases.RegisterTest - Register button clicking
16:02:34 INFO  testCases.RegisterTest - Validating the register function
16:02:34 INFO  testCases.RegisterTest - Loging out
16:02:35 INFO  testCases.RegisterTest - Test is passed
16:02:35 INFO  testCases.RegisterTest - * finished RegisterTest-TC004_verify_signUp_functionality *
16:02:36 INFO  testCases.RegisterTest - -->[2023-03-07/16:02:36] Finished test automation <--
16:02:36 INFO  testCases.LoginTest - -->[2023-03-07/16:02:36] Starting the test automation <--
16:02:42 INFO  testCases.LoginTest - * Starting LoginTest-TC005_verify_login_with_valid_data *
16:02:42 INFO  testCases.LoginTest - Entering username
16:02:42 INFO  testCases.LoginTest - Entering password
16:02:42 INFO  testCases.LoginTest - Clicking the login button
16:02:45 INFO  testCases.LoginTest - Validating the login functionality
16:02:45 INFO  testCases.LoginTest - -->[2023-03-07/16:02:45] Finished test automation <--
16:02:45 INFO  testCases.AccountOverviewTest - -->[2023-03-07/16:02:45] Starting the test automation <--
16:02:53 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
16:02:53 INFO  testCases.AccountOverviewTest - Registering new user
16:02:55 INFO  testCases.AccountOverviewTest - Opened account overview page
16:02:58 INFO  testCases.AccountOverviewTest - Validating the total balance
16:02:58 INFO  testCases.AccountOverviewTest - Test is passed
16:02:58 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
16:02:58 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
16:02:58 INFO  testCases.AccountOverviewTest - Creating new account
16:03:02 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
